37	102	28	32	11	5	62	198	10
0	1	0	1	1	0	0	1	0
0	1	0	0	0	0	0	1	0
7	1	0	2	1	1	3	7	0
0	1	0	0	0	0	2	7	0
99	409	7	139	16	4	18	72	34
5	2	0	0	0	0	8	26	0
8	82	11	4	6	142	63	199	2
1943	5445	332	1040	437	467	21606	18400	173
4	0	0	0	2	0	0	5	0
1	5	0	1	0	0	17	50	0
0	0	0	1	1	3	11	28	3
11	1	2	8	1	0	6	27	1
172	204	47	73	52	21	270	792	19
0	1	2	0	3	0	35	66	0
447	1204	56	275	102	459	10840	4408	39
0	0	0	0	0	0	0	5	0
3	0	0	6	0	1	7	42	0
3	41	299	4	206	8	33	64	32
23	81	27	20	45	25	107	187	14
266	536	81	139	61	70	635	1000	56
14	97	4	10	15	0	38	81	7
0	0	0	2	0	2	13	28	1
48	155	145	49	50	0	77	160	24
0	8	0	0	2	0	0	6	0
56	211	23	58	14	3	102	258	9
2	15	28	1	1	50	26	74	0
40	186	103	42	67	34	147	303	23
7	44	0	7	0	9	7	3	2
0	18	16	3	20	0	1	10	3
88	222	556	126	325	209	126	610	92
81	418	138	86	69	22	178	401	29
8	19	147	20	51	0	37	58	8
17	61	26	18	9	16	313	504	2
23	85	1	41	13	1	78	137	24
3	17	0	16	6	1	31	56	1
131	313	8	117	89	29	443	575	31
5	24	0	24	4	0	15	13	5
14	44	0	15	2	0	5	19	1
91	74	0	58	15	0	55	18	14
10	18	0	11	10	0	26	29	4
1	5	0	6	0	0	0	1	0
168	202	0	98	43	2	203	218	34
620	2063	195	599	327	76	2498	3421	182
15	57	13	15	15	0	198	62	8
13	76	0	26	17	0	156	112	12
29	26	0	26	2	1	11	1	0
12	28	0	18	2	0	4	9	11
110	362	7	115	81	2	35	254	20
5	1	0	2	1	0	7	14	0
0	4	0	1	0	0	1	11	0
1	1	0	4	1	0	1	0	1
475	660	54	479	138	3	486	686	99
0	0	0	1	0	0	1	2	2
0	0	0	0	0	0	0	2	0
540	1280	237	495	224	17	1627	2195	115
656	2584	222	695	320	400	1456	2298	140
367	926	35	415	81	31	477	3208	71
173	363	1348	292	310	50	253	865	207
90	235	1384	188	302	42	129	778	174
0	7	0	5	1	0	4	5	0
28	121	154	19	98	11	81	402	18
75	152	663	51	316	45	54	193	59
7	20	17	4	12	15	31	104	0
0	14	0	0	0	2	10	31	1
14	14	27	7	57	35	105	413	6
259	998	139	267	245	231	2224	3922	94
0	1	1	0	0	0	17	37	0
35	71	6	6	79	10	111	315	17
87	270	83	59	24	59	533	932	27
0	0	0	0	0	0	3	2	0
16	99	27	13	3	0	305	197	3
6	22	20	1	6	130	38	104	3
130	455	66	114	53	128	747	962	33
53	229	389	97	145	44	258	550	37
0	0	0	0	0	0	1	2	0
0	0	0	0	2	0	2	2	0
184	507	49	198	114	5	85	396	74
8	14	99	15	53	20	91	119	9
45	47	199	33	70	23	369	332	13
21	80	16	29	28	8	300	457	10
82	19	54	24	62	842	72	301	9
175	318	311	209	279	1003	348	1038	116
22	47	1	21	8	3	103	88	4
1	9	0	0	2	0	3	9	4
0	0	0	0	0	0	17	30	0
7465	20201	1998	7051	2289	233	27261	32757	1580
2	0	0	3	2	0	0	1	1
24	74	4	17	19	1	99	424	17
15	3	0	10	1	0	0	0	1
3	2	1	9	5	0	5	107	0
52	100	0	32	26	1	26	65	9
0	1	0	0	2	0	2	5	0
22	13	0	10	5	0	12	38	6
0	1	0	6	0	0	4	5	1
18	1	0	1	0	0	3	3	0
20	75	1282	45	310	69	14	37	66
0	0	0	0	0	0	1	0	0
160	357	844	278	349	163	255	134	87
47	48	279	70	96	6	112	27	14
30	24	103	50	24	34	12	24	7
102	361	1	102	23	3	43	153	15
0	0	0	0	0	2	0	2	0
78	303	319	124	184	14	78	256	63
668	1272	1075	1125	324	21	845	1296	204
59	47	114	51	37	70	34	106	30
0	4	2	5	4	0	3	5	3
89	91	2051	199	434	515	59	70	195
287	854	156	453	221	6	293	582	111
17	22	0	5	0	0	45	16	0
10	6	0	10	5	0	1	11	4
40	62	0	26	10	0	47	197	5
0	0	0	1	0	0	1	11	0
0	16	0	4	0	0	75	27	0
0	0	0	1	1	0	0	0	0
65	158	7	73	19	2	888	331	18
2423	5578	8455	3187	2121	214	4137	3017	927
26	134	196	58	51	5	263	129	18
0	10	0	0	0	0	0	2	0
2	10	1	0	4	0	16	2	2
4	7	64	5	4	0	0	2	1
0	12	0	1	0	0	0	0	0
1	2	0	1	0	0	0	0	0
4	0	0	3	0	0	2	2	1
1	0	0	1	0	0	0	2	0
27	160	831	62	774	295	180	472	97
0	22	7	0	5	0	9	5	0
2	4	6	4	0	2	3	37	0
0	0	0	0	1	0	0	1	0
3	0	0	13	2	0	0	2	0
1	2	0	3	1	0	2	1	0
0	7	0	0	0	0	4	3	2
217	365	0	178	109	197	572	701	51
0	2	0	4	0	0	0	11	2
50	143	0	59	33	5	150	272	26
358	694	22	284	114	183	1225	893	59
21	14	1	20	6	0	6	3	3
63	187	150	66	72	10	517	374	18
116	478	148	143	206	168	438	2583	41
0	0	0	0	2	0	1	2	1
58	238	54	68	47	1	54	623	27
135	119	809	88	303	137	198	470	51
540	1835	648	338	283	135	3009	6418	97
1	5	4	8	2	0	5	11	0
20	131	1	62	18	3	50	206	9
1	0	0	0	0	0	1	7	0
2	8	3	1	0	0	5	2	0
98	290	445	179	51	8	348	544	37
0	0	0	0	1	0	0	3	0
38	37	62	40	23	4	112	312	15
136	625	276	148	199	202	1387	1197	105
1	17	0	9	6	1	13	34	0
7	3	0	1	1	0	21	14	4
23	301	12	31	26	62	880	565	14
199	833	2286	261	1021	323	892	1277	217
0	0	0	2	0	0	0	3	0
1	23	1	2	1	1	17	17	0
136	719	891	154	168	43	1849	2374	47
4	7	154	1	41	6	209	306	9
55	100	72	49	17	1	1092	1043	3
